,FECHA,FOLIO,PROVEEDOR,DESCRIPCION,TIPO_GASTO,IMPORTE,IVA,TOTAL MX
16,2022-01-01,420211201898904,"INTERCAM BANCO S.A., INSTITUCION DE BANCA MULTIPLE, INTERCAM GRUPO FINANCIERO",COMISIÓN POR TIMBRADO FISCAL,COMISION BANCARIA,0.0,0.0,0
17,2022-01-01,420211201898904,"INTERCAM BANCO S.A., INSTITUCION DE BANCA MULTIPLE, INTERCAM GRUPO FINANCIERO",COMISION POR TIMBRADO FISCAL,COMISION BANCARIA,0.0,0.0,0
18,2022-01-01,22021120028311,"INTERCAM FONDOS, S.A. DE C.V. SOCIEDAD OPERADORA DE FONDOS DE INVERSION INTERCAM GRUPO FINANCIERO",Comisiones y Otros Cargos,COMISION BANCARIA,0.0,0.0,0
19,2022-01-01,2155,JOSE ISMAEL MANCILLA COLUNGA,S CONTABLE MES  DIC21,HONORARIOS CONTABLES,5349.66,855.95,5100.009999999999
20,2022-01-01,724,TALLER DIGITAL SA DE CV,SERVICIOS DE CONSULTORIA Y COUCHING DEL MES DE ENERO 2022,CAPACITACION,4543.1,726.9,5270
21,2022-01-01,79878,"AESA ARTICULOS ELECTRICOS, S.A. DE C.V.",CABLE NIQUELADO 300° C CAL. 10,COMPRAS,7325.0,1172.0,8497
22,2022-01-01,3079,ASESORIA Y CONSULTORIA PENDRILD SC,SERVICIOS LEGALES SOBRE DERECHO LABORAL,HONORARIOS JURIDICOS,2577.66,412.43,2990.0899999999997
23,2022-01-01,1595,ASOCIACION DE TRABAJADORES A LA VANGUARDIA A.C.,ADMINISTRACION DE PROGRAMA DE COMPETITIVIDAD CON NUMERO DE FOLIO  CALOR/PEPCE/ATVANGUARDIA/123/2021,COMISION MIXTA,25776.61,0.0,25776.61
24,2022-01-01,106583,COMERCIALIZADORA ELECTRICA INDUSTRIAL VAZQUEZ SA DE CV,CABLE TERMOPAR MALLA INOX TIPO J-FB-FB-SSB-20S ROLLO 100M,COMPRAS,5581.52,893.04,6474.56
25,2022-01-01,1551952,EFECTIVALE S. de R.L. de C.V.,DISPERSION,GASOLINA,10300.0,48.0,10348
26,2022-01-01,72757,NOVATEL MEXICANA S.A. DE C.V,"CINTA 0.005"" C/A STD DE 3"" X 33 MT",COMPRAS,13209.9,2113.58,15323.48
27,2022-01-01,965,PANADERIA DEL BAJIO S.A. DE C.V.,Rosca Mantequilla Mediana,ALIMENTOS,245.0,0.0,245
28,2022-01-01,14441,Sanjuana Vargas Almanza,"AX41A-Control de temperatura digital 1/16 Din  48x48mm  entrada  J, K, pt100 , salida SSR + Rele + Rele  alim 100-240vca ",COMPRAS,9030.0,1444.8,10474.8
29,2022-01-01,388768,"ASPEL DE MEXICO, SA DE CV",Suscripción ASPEL-BANCO Mensual 1 Usr(s),MTTO COMPUTO,284.0,45.44,329.44
30,2022-01-01,19516080,ADT Private Security Services de México S.A. de C.V.,Monitoreo Dual Com Ret,MONITOREO CAMARAS ADT,1291.98,206.72,1498.7
31,2022-01-01,231,JORGE CASILLAS COROMINAS,ARRENDAMIENTO DE  BODEGA,ARRENDAMIENTO LOCAL,26000.0,4160.0,24786.66
32,2022-01-01,22000,JONATAN CASTELLANOS OLMEDO,Servicio de aplicación de pruebas covid-19. turno de 3hrs,MEDICOS,360.0,57.6,417.6
33,2022-01-01,13117,CTL LOGISTICS MEXICO SA DE CV,Destination - Other Charges (AF),GASTOS IMPORTACION ,6527.264,1044.3622400000002,7571.6262400000005
34,2022-01-01,3197,EXI BAJIO SA DE CV,Pago,RENTA COPIADORA,0.0,0.0,0
35,2022-01-01,54728,MR MULTISERVICIOS INDUSTRIALES SA DE CV,"PLACA AC A36 3/8""",COMPRAS,848.0,135.68,983.6800000000001
36,2022-01-01,54729,MR MULTISERVICIOS INDUSTRIALES SA DE CV,"PLACA AC A36 1/2""",COMPRAS,1350.0,216.0,1566
37,2022-01-01,XXXX,BERNARDO RAMIREZ VAZQUEZ,SERVICIOS DE MANTENIMIENTO INDUSTRIAL,MTTO MAQUINARIA,10775.86,1724.14,12500
38,2022-01-01,XXXX,TELEFONOS DE MEXICO S.A.B. DE C.V.,Servicios de Telecomunicaciones,TELEFONO,272.04,43.53,315.57000000000005
39,2022-01-01,XXXX,TELEFONOS DE MEXICO S.A.B. DE C.V.,SUSCRIPCION NETFLIX,TELEFONO,1781.1200000000001,284.98,2066.1000000000004
40,2022-01-01,33027984,ADT Private Security Services de México S.A. de C.V.,Pago,MONITOREO CAMARAS ADT,0.0,0.0,0
41,2022-01-01,49520,ATENCION RAPIDA A CLIENTES TRES SA DE CV,32011                MAGNA,GASOLINA,1154.68,179.6,1334.28
42,2022-01-01,4893,EDGAR AGUILAR DIAZ,PINTURA SPRAY NEGRO COMEX,COMPRAS,2201.5,352.24,2553.74
43,2022-01-01,6212,CTL LOGISTICS MEXICO SA DE CV,Pago,GASTOS IMPORTACION ,0.0,0.0,0
44,2022-01-01,409762,"ELECTRONICA ZARAGOZA, S.DE R.L.","-CINTA ADHESIVA TIPO KAPTON DE 0,4",MTTO COMPUTO,68.1,10.9,79
45,2022-01-01,8290790,PODER EJECUTIVO DEL ESTADO DE QUERETARO,DERECHOS POR CONTROL VEHICULAR,DERECHOS,1434.0,0.0,1434
46,2022-01-01,580,MARIA MAGDALENA MARTINEZ ZAMORA,Resistencia acanalada de 1/4,COMPRAS,1080.0,172.8,1252.8
47,2022-01-01,592,IGNACIO ROJAS GOMEZ,BOTON DE EMERGENCIA MOD S2ER-E3-RBM,COMPRAS,3000.0,480.0,3480
48,2022-01-01,XXXX,TELEFONOS DE MEXICO S.A.B. DE C.V.,Pago,TELEFONO,0.0,0.0,0
49,2022-01-01,XXXX,TELEFONOS DE MEXICO S.A.B. DE C.V.,Pago,TELEFONO,0.0,0.0,0
50,2022-01-01,013490,"BEBIDAS PURIFICADAS, S. DE R.L. DE C.V.",Epura 20 Lts Policarbonato,ALIMENTOS,156.0,0.0,156
51,2022-01-01,3346,COMERCIALIZADORA ELECTRICA INDUSTRIAL VAZQUEZ SA DE CV,Pago,COMPRAS,0.0,0.0,0
52,2022-01-01,80019,"AESA ARTICULOS ELECTRICOS, S.A. DE C.V.",TERMOSTATO R.SHAW INF 120V 15 AMP CON TUERCA Y PERILLA,COMPRAS,4527.5,724.4,5251.9
53,2022-01-01,106926,COMERCIALIZADORA ELECTRICA INDUSTRIAL VAZQUEZ SA DE CV,ALAMBRE DSD CALIBRE 8,COMPRAS,21039.07,3366.25,24405.32
54,2022-01-01,11093,DH4 COMERCIALIZADORA SA DE CV,"COMISION DEL 4% EN LA INTERMEDIACION MERCANTIL POR LA COLOCACION DE DIVERSAS RESISTENCIAS ELECTRICAS, A VARIOS CLIENTES DURANTE EL PERIODO DE DICIEMBRE DE 2021",SUELDOS DIRECCION,47991.23,7678.6,55669.83
55,2022-01-01,24,"NET LOGISTIK, S.A. DE C.V.",Administración Licencias Monday.com Pago trimestralVigencia: 20 de Enero 2022 al 19 de Abril 2022,SUSCRIPCIONES,7200.0,1152.0,8352
56,2022-01-01,72797,NOVATEL MEXICANA S.A. DE C.V,"NOVAFLON 0.010"" STD C/A SILICONADO O",COMPRAS,6055.7,968.91,7024.61
57,2022-01-01,72802,NOVATEL MEXICANA S.A. DE C.V,"CINTA 0.005"" C/A STD DE 1""  X 33 MT",COMPRAS,8719.92,1395.19,10115.11
58,2022-01-01,232,JORGE CASILLAS COROMINAS,ARRENDAMIENTO DE  BODEGA,ARRENDAMIENTO LOCAL,26000.0,4160.0,24786.66
59,2022-01-01,136220,GRUPO NACIONAL PROVINCIAL S A B,PRIMA NETA SEGURO DE AUTOS,SEGUROS,-4585.5,-733.68,-5319.18
60,2022-01-01,593,IGNACIO ROJAS GOMEZ,CABLE FV CAL 10-300,COMPRAS,5650.0,904.0,6554
61,2022-01-01,80089,"AESA ARTICULOS ELECTRICOS, S.A. DE C.V.",CINTA NICROMEL 80 3.180 X 0.381,COMPRAS,5565.0,890.4,6455.4
62,2022-01-01,6023,"American Brother, S.A. de C.V.","RESISTENCIA DE NICROM PARA SISTEMA DE SELLADO DE 0.2 X 30 CM TIPO(PCS300)
21  47  6087  1168072/2021-05-10/Aeropuerto Internacional de la Ciudad de Mexico",COMPRAS,441.0,70.56,511.56
63,2022-01-01,3168,ASESORIA Y CONSULTORIA PENDRILD SC,SERVICIOS LEGALES SOBRE DERECHO LABORAL,HONORARIOS JURIDICOS,1087.16,173.95,1261.1100000000001
64,2022-01-01,400656,"ASPEL DE MEXICO, SA DE CV",Suscripción ASPEL-COI Mensual 1 Usr(s),MTTO COMPUTO,333.0,53.28,386.28
65,2022-01-01,1650,ASOCIACION DE TRABAJADORES A LA VANGUARDIA A.C.,ADMINISTRACION DE PROGRAMA DE COMPETITIVIDAD CON NUMERO DE FOLIO  CALOR/PEPCE/ATVANGUARDIA/123/2021,COMISION MIXTA,10871.6,0.0,10871.6
66,2022-01-01,3350,COMERCIALIZADORA ELECTRICA INDUSTRIAL VAZQUEZ SA DE CV,Pago,COMPRAS,0.0,0.0,0
67,2022-01-01,000061127662,CFE SUMINISTRADOR DE SERVICIOS BASICOS,Energia,ENERGIA ELECTRICA,3894.49,623.11,4517.599999999999
68,2022-01-01,XXXX,IKHNOS ARQUITECTOS SA DE CV,REMODELACIÓN DE OFICINA,MTTO OFICINA ,30000.0,4800.0,34800
69,2022-01-01,54881,MR MULTISERVICIOS INDUSTRIALES SA DE CV,"SOLERA AC INOX  1/8"" X 3""",COMPRAS,50.0,8.0,58
70,2022-01-01,20217,CLARITY SYSTEMS S.A. DE C.V.,RENTA MENSUAL SISTEMA DE PURIFICACION ACCUAPERFECTA 4 ALCALINO,ALIMENTOS,343.97,55.03,399
71,2022-01-01,11522868,DEREMATE.COM DE MEXICO S DE RL DE CV,Bonificaciones otorgadas por periodos anteriores 06-01-2022,SUSCRIPCIONES,-193.19,-30.91,-224.1
72,2022-01-01,5403,ELECTROTERMICA NACIONAL SA DE CV,Pago,COMPRAS,0.0,0.0,0
73,2022-01-01,72842,NOVATEL MEXICANA S.A. DE C.V,"NOVAFLON 0.010"" STD S/A O",COMPRAS,18190.0,2910.4,21100.4
74,2022-01-01,35285,TERMOELEMENTOS INDUSTRIALES SA DE CV,"TUBING ACERO INOX. TIPO 304-1"" Ø",COMPRAS,13737.0,2197.92,15934.92
75,2022-01-01,XXXX,TELEFONOS DE MEXICO S.A.B. DE C.V.,Servicios de Telecomunicaciones,TELEFONO,226.81,36.29,263.1
76,2022-01-01,5640,CARLOS ENRIQUE ZERMEÑO GUTIERREZ,VARILLA DE SOLDADURA DE PLATA AL 35% EN 1/16 X 18,COMPRAS,7146.38,1143.42,8289.8
77,2022-01-01,1598,EDGAR AGUILAR DIAZ,Pago,COMPRAS,0.0,0.0,0
78,2022-01-01,7079,EXI BAJIO SA DE CV,Servicio de Arrendamiento,RENTA COPIADORA,2000.0,320.0,2320
79,2022-01-01,2586,FM INGENIEROS 3.3,Pago,COMPRAS,0.0,0.0,0
80,2022-01-01,54980,MR MULTISERVICIOS INDUSTRIALES SA DE CV,"SOLERA AC 1018 3/8"" X 3""",COMPRAS,200.0,32.0,232
81,2022-01-01,54981,MR MULTISERVICIOS INDUSTRIALES SA DE CV,"PLACA AC A36 1""",COMPRAS,2160.0,345.6,2505.6
82,2022-01-01,49,FRANCISCO DE GUADALUPE NOGUERAS RUBIO,Servicio dirección empresarial,GERENCIA ADMON,30000.0,4800.0,28600
83,2022-01-01,229020,"BEBIDAS PURIFICADAS, S. DE R.L. DE C.V.",Epura 20 Lts Policarbonato,ALIMENTOS,78.0,0.0,78
84,2022-01-01,244078,Kabla Comercial S.A. de C.V.,Prueba para deteccion de antigenos (Ag) de SARS-CoV-2 Ag - caja con 20 pruebas - CerTest,MEDICOS,2771.37,443.42,3214.79
85,2022-01-01,107314,COMERCIALIZADORA ELECTRICA INDUSTRIAL VAZQUEZ SA DE CV,CABLE TERMOPAR MALLA INOX TIPO K-FB-FB-SSB-20S ROLLO 100-M,COMPRAS,12685.26,2029.64,14714.9
86,2022-01-01,XXXX,ABDUL JARED HERNANDEZ GONZALEZ,Buje de 4140T Templado,MTTO MAQUINARIA,18500.0,2960.0,21460
87,2022-01-01,4143881,IIRSACERO S.A DE C.V,"D-2 PLACA 2 1/2""",COMPRAS,1415.88,226.54,1642.42
88,2022-01-01,6473,J&M INTERCOPY SA DE CV,POLIZA DE MANTENIMIENTO,MTTO COMPUTO,6324.0,1011.84,7335.84
89,2022-01-01,23,NOVATEL MEXICANA S.A. DE C.V,Pago,COMPRAS,0.0,0.0,0
90,2022-01-01,57,NOVATEL MEXICANA S.A. DE C.V,Pago,COMPRAS,0.0,0.0,0
91,2022-01-01,5097,PROVEEDORA ARNOR SA DE CV,DESCUENTO,COMPRAS,-178.0,-28.48,-206.48
92,2022-01-01,35304,TERMOELEMENTOS INDUSTRIALES SA DE CV,"TUBING ACERO INOX. TIPO 304-1/2"" Ø",COMPRAS,4140.0,662.4,4802.4
93,2022-01-01,2318,Sanjuana Vargas Almanza,Pago,COMPRAS,0.0,0.0,0
94,2022-01-01,12602,"VIDRIOS Y CRISTALES DE QUERETARO, S.A. DE C.V.",Pago,MTTO LOCAL,0.0,0.0,0
95,2022-01-01,1282,IRMA VILLALPANDO CASTANEDA,"RONDANA DE SILICON DIAM 5/8 INT 1"" EXT",COMPRAS,500.0,80.0,580
96,2022-01-01,80255,"AESA ARTICULOS ELECTRICOS, S.A. DE C.V.",CINTA NICROMEL 80 12.700 X 0.203,COMPRAS,3390.0,542.4,3932.4
97,2022-01-01,5766,"AR PIROMETRIA E INGENIERIA, S.A. DE C.V.",Pago,COMPRAS,0.0,0.0,0
98,2022-01-01,161598,"AT&T Comunicaciones Digitales, S. de R.L. de C.V.","N.SIMV85ATTTRIO, SIM 8952050202103360009F",TELEFONO,0.01,0.0,0.01
99,2022-01-01,3191787,"AT&T Comunicaciones Digitales, S. de R.L. de C.V.",SERVICIO POR CAMBIO DE SIM,TELEFONO,84.48,13.52,98
100,2022-01-01,5435,ELECTROTERMICA NACIONAL SA DE CV,Pago,COMPRAS,0.0,0.0,0
101,2022-01-01,3475,BENJAMÍN MAYA MONDRAGÓN,Pago,COMPRAS,0.0,0.0,0
102,2022-01-01,3480,BENJAMÍN MAYA MONDRAGÓN,TORNILLOS DE A-INOX STD DE 3/16 X 3/4 REBAJADOS,COMPRAS,1000.0,160.0,1160
103,2022-01-01,1320,MARISOL MENDOZA CHAVEZ,Pago,COMPRAS,0.0,0.0,0
104,2022-01-01,437202,ORTEGA ESQUIVEL RENE,MENSULA NEGRA # 5 ( 2 PIEZAS),COMPRAS,199.8,31.97,231.77
105,2022-01-01,56,ROVIVSA S.A. DE C.V.,Descuento,COMPRAS,-7440.0,-1190.4,-8630.4
106,2022-01-01,238,"TUVASUR DEL BAJIO, S.A. DE C.V.",Pago,COMPRAS,0.0,0.0,0
107,2022-01-01,80308,"AESA ARTICULOS ELECTRICOS, S.A. DE C.V.",TERMINALES ALTA TEMP. 10-12,COMPRAS,10843.0,1734.88,12577.880000000001
108,2022-01-01,3315,ASESORIA Y CONSULTORIA PENDRILD SC,SERVICIOS LEGALES SOBRE DERECHO LABORAL,HONORARIOS JURIDICOS,937.45,149.99,1087.44
109,2022-01-01,1811,AMBOSS INDUSTRIAL S DE RL DE CV,"Instalación Eléctrica Etapa de control.
FASE II
Proyecto ITP
REF.: CYC0821/06
P.O. OC02534",INSTALACION ELECTRICA,68965.52,11034.48,80000
110,2022-01-01,1770,ASOCIACION DE TRABAJADORES A LA VANGUARDIA A.C.,ADMINISTRACION DE PROGRAMA DE COMPETITIVIDAD CON NUMERO DE FOLIO  CALOR/PEPCE/ATVANGUARDIA/123/2021,COMISION MIXTA,9374.49,0.0,9374.49
111,2022-01-01,10854,VICTOR HUGO CASTRO CANSINO,FUNDENTE UTP AG PARA SOLDADURA DE PLATA,COMPRAS,1674.4,267.9,1942.3000000000002
112,2022-01-01,13003228,GRUPO INSUL THERM S.A. DE C.V.,RF 3075 DE 1.5 PULG X 48 X 100 PIES CON BARRERA DE VAPOR DE ALUMINIO REFORZADO,COMPRAS,43043.78,6887.0,49930.78
113,2022-01-01,48430,RECUBRIMIENTOS Y RESINAS DE QUERETARO SA DE CV,RESINA POLIESTER/PREAC.1/4 KGO.,COMPRAS,332.89,53.26,386.15
114,2022-01-01,12915,"VIDRIOS Y CRISTALES DE QUERETARO, S.A. DE C.V.",Pago,MTTO LOCAL,0.0,0.0,0
115,2022-01-01,5473,CACELEC SA DE CV,TIPO CAFETERA TY60 FIJO 55ºC,COMPRAS,1806.25,289.0,2095.25
116,2022-01-01,4233131,"COSTCO DE MEXICO, S.A. DE C.V.",CABLE DE SUJECIÓN CON MATRACA 8.2M X 5CM EVEREST,NO DEDUCIBLE,0.0,0.0,0
117,2022-01-01,520,IKHNOS ARQUITECTOS SA DE CV,REMODELACION DE OFICINA,MTTO OFICINA ,25000.0,4000.0,29000
118,2022-01-01,72906,NOVATEL MEXICANA S.A. DE C.V,"CINTA 0.003"" C/A STD DE 3""  X 33 MT",COMPRAS,1131.57,181.05,1312.62
119,2022-01-01,72907,NOVATEL MEXICANA S.A. DE C.V,"NOVAFLON 0.010"" STD C/A SILICONADO O",COMPRAS,27250.65,4360.1,31610.75
120,2022-01-01,980,PANADERIA DEL BAJIO S.A. DE C.V.,Pastel Reina de Fresa,ALIMENTOS,320.0,0.0,320
121,2022-01-01,93401,"Potencia Fluida, S.A. de  C.V. Suc. Queretaro","TUBO BISC. A. INOX. C/COST T316L  C40 1/2""",COMPRAS,4233.83,677.41,4911.24
122,2022-01-01,XXXX,BERNARDO RAMIREZ VAZQUEZ,SERVICIOS DE MANTENIMIENTO INDUSTRIAL,MTTO MAQUINARIA,4310.35,689.66,5000.01
123,2022-01-01,XXXX,BERNARDO RAMIREZ VAZQUEZ,SEREVICOS DE MANTENIMIENTO INDUSTRIAL,MTTO MAQUINARIA,12073.79,1931.81,14005.6
124,2022-01-01,107655,COMERCIALIZADORA ELECTRICA INDUSTRIAL VAZQUEZ SA DE CV,ESPADA AISLADA 22-18 1/8 CEIV 320665-C,COMPRAS,10736.7,1717.87,12454.57
125,2022-01-01,273840,GRUPO NACIONAL PROVINCIAL S A B,Pago,SEGUROS,0.0,0.0,0
126,2022-01-01,771125,Super Papelera S.A. de C.V. Suc Queretaro,SACAPUNTAS ELECTRICO PEGASO VERTICAL NGO  PEGASO,PAPELERIA,1236.9299999999998,197.91,1434.84
127,2022-01-01,458380,"BEBIDAS PURIFICADAS, S. DE R.L. DE C.V.",Epura 20 Lts Policarbonato,ALIMENTOS,156.0,0.0,156
128,2022-01-01,2439,DELIVERYMAIL,Pago,PAQUETERIA,0.0,0.0,0
129,2022-01-01,1416,J&M INTERCOPY SA DE CV,Pago,MTTO COMPUTO,0.0,0.0,0
130,2022-01-01,24713,OPERADORA RIVERA SACRA SA DE CV,32011 MAGNA,GASOLINA,1035.83,161.09,1196.9199999999998
131,2022-01-01,635,MIGUEL ANGEL POZOS PONCE,Vinil tipo pintarrón ,PAPELERIA,1480.0,236.8,1716.8
132,2022-01-01,3021,SILCA CERAMICO PRODUCTOS S.A. DE C.V.,TUBO CERÁMICO GRANDE,COMPRAS,6137.9400000000005,982.0704000000001,7120.010400000001
133,2022-01-01,AT000522,TRANSPORTE Y ALMACENAJE ESPECIALIZADO SA DE CV,Maniobra Integral PED.3807 2000464 REF.CIE00464 22MZ COM.A093.01.2022,PAQUETERIA,3500.0,560.0,4060
134,2022-01-01,426142,"ASPEL DE MEXICO, SA DE CV",Suscripción ASPEL-SAE Mensual 14 Usr(s),MTTO COMPUTO,2663.0,426.08,3089.08
135,2022-01-01,3928447,"AXTEL, S.A.B. de C.V.",Otros cargos,TELEFONO,0.0,0.0,0
136,2022-01-01,8811090280022099,"BANCO NACIONAL DE MEXICO, S.A.",COMIS. ANUAL (ENE 22),COMISION BANCARIA,2250.0,360.0,2610
137,2022-01-01,9263,COMER CHRIS SA DE CV,JABON ROMA 250 GRS.,MTTO LOCAL,176.13,28.17,204.3
138,2022-01-01,4237771,"COSTCO DE MEXICO, S.A. DE C.V.",DATIL MEDJOOL 908 G,NO DEDUCIBLE,0.0,0.0,0
139,2022-01-01,8502139,PODER EJECUTIVO DEL ESTADO DE QUERETARO,MULTAS VERIFICACION VEHICULAR,DERECHOS,896.2,0.0,896.2
140,2022-01-01,8505341,PODER EJECUTIVO DEL ESTADO DE QUERETARO,IMPUESTO SOBRE NOMINA SECTOR PRIVADO,DERECHOS,4280.0,0.0,4280
141,2022-01-01,55315,MR MULTISERVICIOS INDUSTRIALES SA DE CV,"BARRA HEX LATON 1""",COMPRAS,2295.0,367.2,2662.2
142,2022-01-01,80520,"AESA ARTICULOS ELECTRICOS, S.A. DE C.V.",TERMOSTATO C.A.E.M. 30-110C B.C,COMPRAS,7862.25,1257.96,9120.21
143,2022-01-01,3407,ASESORIA Y CONSULTORIA PENDRILD SC,SERVICIOS LEGALES SOBRE DERECHO LABORAL,HONORARIOS JURIDICOS,990.54,158.49,1149.03
144,2022-01-01,5795,"AR PIROMETRIA E INGENIERIA, S.A. DE C.V.",Pago,COMPRAS,0.0,0.0,0
145,2022-01-01,1841,ASOCIACION DE TRABAJADORES A LA VANGUARDIA A.C.,ADMINISTRACION DE PROGRAMA DE COMPETITIVIDAD CON NUMERO DE FOLIO  CALOR/PEPCE/ATVANGUARDIA/123/2021,COMISION MIXTA,9905.47,0.0,9905.47
146,2022-01-01,1607,EDGAR AGUILAR DIAZ,Pago,COMPRAS,0.0,0.0,0
147,2022-01-01,MAT_2061_00001,CACELEC SA DE CV,Pago,COMPRAS,0.0,0.0,0
148,2022-01-01,XXXX,ARTURO CEBALLOS ZEPEDA,CONSUMO DE ALIMENTOS,ALIMENTOS,157.76,25.24,183
149,2022-01-01,XXXX,ARTURO CEBALLOS ZEPEDA,CONSUMO DE ALIMENTOS,ALIMENTOS,157.76,25.24,183
150,2022-01-01,164993,"AT&T Comunicaciones Digitales, S. de R.L. de C.V.","N.SIMV85ATTTRIO, SIM 8952050202104884353F",TELEFONO,0.01,0.0,0.01
151,2022-01-01,22927486,DEREMATE.COM DE MEXICO S DE RL DE CV,Uso del servicio 22-01-2022,SUSCRIPCIONES,193.19,30.91,224.1
152,2022-01-01,171758,ELECTROTERMICA NACIONAL SA DE CV,"Bulbos RTD, PT-100, DIN-B, modelo 32-208-548 (106554-1 MB)",COMPRAS,1739.0,278.24,2017.24
153,2022-01-01,509,LOURDES GUADALUPE GARCIA RUIZ,SERVICIO DE HOSPEDAJE,HOSPEDAJE,428.57,68.57,497.14
154,2022-01-01,72942,NOVATEL MEXICANA S.A. DE C.V,"NOVAFLON 0.005"" C/A STD SILICONADO L/CH",COMPRAS,10040.0,1606.4,11646.4
155,2022-01-01,26618,OPERADORA DE SERVICIOS PAQUETEXPRESS SA DE CV,Pago,PAQUETERIA,0.0,0.0,0
156,2022-01-01,3026,SILCA CERAMICO PRODUCTOS S.A. DE C.V.,Pago,COMPRAS,0.0,0.0,0
157,2022-01-01,3868,TERMOELEMENTOS INDUSTRIALES SA DE CV,Pago,COMPRAS,0.0,0.0,0
158,2022-01-01,XXXX,TELEFONOS DE MEXICO S.A.B. DE C.V.,Pago,TELEFONO,0.0,0.0,0
159,2022-01-01,XXXX,TELEFONOS DE MEXICO S.A.B. DE C.V.,Pago,TELEFONO,0.0,0.0,0
160,2022-01-01,1204965,"Travers Tool, S. de R.L. de C.V.",BROCA DE CENTRO 6.30MM KEO A.A.V.,COMPRAS,531.84,85.09,616.9300000000001
161,2022-01-01,2327,"ASOCIACION DE MIPYMES INDUSTRIALES DE QUERETARO, A.C.",Afiliación Anual 2022,CAPACITACION,6700.0,0.0,6700
162,2022-01-01,5968,"AR PIROMETRIA E INGENIERIA, S.A. DE C.V.","ALAMBRE DESNUDO PARA TERMOPAR TIPO K NEGATIVO, CAL. 8 AWG
",COMPRAS,3900.0,624.0,4524
163,2022-01-01,5969,"AR PIROMETRIA E INGENIERIA, S.A. DE C.V.","TUBO PROTECTOR DE CARBURO DE
SILICIO DE 1""Ø INT. X 1.75""Ø X 18"" DE
LARGO
",COMPRAS,5300.0,848.0,6148
164,2022-01-01,4944,EDGAR AGUILAR DIAZ,PINTURA VINILICA BLANCA,COMPRAS,3084.9,493.58,3578.48
165,2022-01-01,5489,CACELEC SA DE CV,"TY95 0/90°C, CAP 1 MT",COMPRAS,7208.0,1153.28,8361.28
166,2022-01-01,108072,COMERCIALIZADORA ELECTRICA INDUSTRIAL VAZQUEZ SA DE CV,ALAMBRE DSD CALIBRE 19,COMPRAS,4301.05,688.17,4989.22
167,2022-01-01,000061539043,CFE SUMINISTRADOR DE SERVICIOS BASICOS,Pago,ENERGIA ELECTRICA,0.0,0.0,0
168,2022-01-01,8344,RICARDO ALBERTO ENCISO HERNANDEZ,BOBINA CABLE UTP INTELLINET CAT 5E,COMPRAS,1706.9,273.1,1980
169,2022-01-01,8345,RICARDO ALBERTO ENCISO HERNANDEZ,"TP-LINK SWITCH GIGABIT EASY SMART, 24 PUERTOS 10/100/1000 MBPS, MDI/MDIX AUTOMÁTICO, DE SOBRE MESA Y RACK; VPN: TL-SG1024D",COMPRAS,1676.72,268.28,1945
170,2022-01-01,512,LOURDES GUADALUPE GARCIA RUIZ,SERVICIO DE HOSPEDAJE,HOSPEDAJE,428.57,68.57,497.14
171,2022-01-01,1690,INGENIERIA EN SISTEMAS AUTOMATIZADOS E INSTRUMENTACION SA DE CV,Cable para PT100 3h forro teflon cal. 24,COMPRAS,4000.0,640.0,4640
